Abdoulaye;aaliyah
Malo;adriano
Nathan;adrien
Matisse;adrienn
Louis;adrienne
RaphaÃ«l;adwoa
Yassine;aegle
Robin;ælfwine
Aymen;aella
ThÃ©o;ælred
Martin;aemilia
NoÃ©;aeneas
TÃ©rence;aengus
Valentin;aeolus
aeron (1);davena
aeron (2);daveth
aeronwen;davey
aeronwy;dávid
æsc;david
aeschylus;davida
aeson;davide
aesop;davie
æðelbert;davin
æðelfrid;davina
æðelmær;davinia
æðelred;davis
æðelstan;davy
æðelþryð;dawid
afanasi;dawn
afanasy;dawson
afanen;dawud
afia;dax
afolabi;dayaram
afon;dayna
afonso;dayo
afra;dayton
africa;dazbog
afua;dazhdbog
agafya;dean
agamemnon;deana
agape;deandre
agapios;deangelo
agata;deanna
agatha;deanne
agathangelos;dearbháil
agathe;deasún
agathon;deb
agaue;debbi
aggie;debbie
aghavni;debby
ági;debdan
aglaia;debora
aglaya;deborah
aglea;debra
ágnes;decebal
agnès;decima
agnes;decimus
agnese;declan
agnessa;dee
agneta;deeann
agnethe;deemer
agnieszka;deena
agostina;deepak
agostinho;deepali
agostino;deforest
ágoston;deforrest
ágota;deidra
agrafena;deidre
agrippa;deimos
agrippina;deiniol
agrona;deirbhile
águeda;deirdre
agustín;deitra
ah;deja
ahab;delaiah
aharon;delaney
ahmad;delbert
ahmed;delfina
ahmet;delia
ahriman;delice
ahtahkakoop;delicia
ahura mazda;delilah
ahuva;dell
ai (1);della
ai (2);delma
aias;delmar
aida;delora
aidan;delores
aiden;deloris
aignéis;delphia
aikaterine;delphina
ailbhe;delphine
aileas;delphinia
aileen;delroy
ailill;delshad
ailín;delta
ailís;delwyn
ailpein;delyth
ailsa;dema
aimé;demelza
aimée;demeter (1)
aimo;demeter (2)
aina;demetria
aindrea;demetrio
aindréas;demetrios
aindriú;demetrius
áine;demi
aingeal;democritus
aino;demon
ainsley;demosthenes
ainslie;demostrate
aintzane;demyan
aiolos;den
'aisha;dena
aislin;dene
aisling;dénes
aislinn;denholm
aithne;denice
aitor;deniece
ajax;denis
ajeet;denisa
ajit;denise
ajith;deniz
akakios;dennis
akamu;denny
akanksha;denton
akeem;denver
akemi;denys
akhil;denzel
aki;denzil
akiko;deo
akilah;deodan
akilina;deòiridh
akim;deon
akinyi;deonne
akio;deòrsa
akira;derby
akiva;derek
akoni;derick
akosua;dermid
aksel;dermot
aksinya;derren
aku;derrick
akua;derry
akulina;derval
al;dervila
alaba;dervla
alain;derya
alaina;deryck
alan;deryn
alana;desdemona
alanis;deshaun
alanna;deshawn
alannah;desi
alannis;desiderio
alaois;désiré
alaric;désirée
alasdair;desislav
alastair;desislava
alastar;desmond
alastríona;despina
alayna;despoina
alba;desta
alban;destinee
alberic;destiny
albert;desya
alberta;detlef
albertina;detta
albertine;dev
alberto;devan
albina;devdan
albrecht;devdas
alby;deven
alcaeus;devereux
alcippe;devi
alcyone;devika
alden;devin
aldo;devnet
aldous;devon
aldrick;dewayne
alea;dewey
alease;dewi
alec;dexter
alechjo;dezi
aled;dezirinda
aleesha;dezsõ
aleit;dhananjay
alejandra;diamantina
alejandro;diamond
alejo;diana
aleksandar;diane
aleksander;diann
aleksandr;dianna
aleksandra;dianne
aleksandrina;diarmad
aleksandro;diarmaid
aleksanteri;diarmuid
aleksei;dick
aleksi;didi
alene;didier
alenka;dido
ales;diederick
alesha;diederik
alessa;diego
alessandra;dierk
alessandro;dieter
alessia;dietfried
alessio;diethelm
aleta;dietlinde
aletha;dietmar
alethea;dietrich
alex;dieudonné
alexa;dieudonnée
alexander;digby
alexandr;diggory
alexandra;dijana
alexandre;dikeledi
alexandrea;dilbert
alexandria;dilip
alexandrie;dillon
alexandrina;dilshad
alexandros;dilwen
alexandru;dilwyn
alexei;dilys
alexej;dima (1)
alexia;dima (2)
alexina;dimitar
alexis (1);dimitri
alexis (2);dina
alexius;dinah
alexus;dinesh
alf;dinh
alfeo;dinis
alfhild;dino
alfons;diodore
alfonsina;diodorus
alfonso;diodotus
alfréd;diogenes
alfred;diogo
alfreda;diokles
alfredo;diomedes
alfsigr;dion
algar;dione
alger;dionisio
algernon;dionne
ali;dionysios
alia;dionysius
aliah;dionysodoros
alice;dionysos
alicia;dionysus
alida;dipak
aliisa;dipali
alin;direnç
alina (1);dirk
alina (2);disgleirio
aline;divina
alis;divya
alisa;dixie
alisha;diya
alisia;djamila
alison;dmitri
alissa;dmitrii
alistair;dmitriy
alister;dmitry
alisya;dobrogost
alix;dobromil
aliyah;dodie
aliz;doina
aliza;doireann
allan;dollie
allannah;dolly
allegra;dolores
allegria;dolph
allen;dom
allie;domen
allison;domenica
allon;domenico
ally;domhnall
allycia;dominga
allyn;domingo
allyson;domingos
alma;dominic
almas;dominica
almira;dominick
almudena;dominik
alodia;dominika
alois;dominique
aloisia;domitilla
aloisio;domonkos
alojz;don
alon;dona
alondra;donagh
alonso;donal
alonzo;donald
aloysius;donalda
alp;donaldina
alpertti;donar
alpha;donát
alphaeus;donat
alphonse;donata
alphonsine;donatella
alphonso;donatello
alphonsus;donatien
alphonzo;donatienne
alpin;donato
alta;donella
altan;donelle
alte;dong
alter;donna
althea;donnchadh
alton;donnie
aludra;donny
alun;donovan
alva;dóra
alvah;dora
alvar;doran
álvaro;dorcas
alvena;dorean
alvilda;doreen
alvin;dores
alvina;dorete
alvis;doretta
alwilda;dorian
alwyn;doriane
alya;doriano
alyce;dorika
alyona;dorinda
alys;doris
alysha;dorit
alyson;dorita
alyssa;dorofei
alyssia;doron
alyusha;dorota
alyx;dorotea
alzbeta;dorotéia
ama;dorothea
amabel;dorothée
amada;dorotheos
amadeo;dorothy
amadeus;dorottya
amadi (1);dorris
amadi (2);dortha
amal (1);dorthy
amal (2);doru
amala;dory
amália;dosia
amalia;dot
amalric;dottie
amalthea;dotty
amanda;doug
amandine;dougal
amando;douglas
amani;dov
amar;dovid
amara;doyle
amaranta;draco
amarante;dragan
amardad;dragana
amariah;dragica
amaryllis;dragomir
amaterasu;dragos
amato;drake
amaury;draven
amaya;dreda
amber;drew
ambra;drina
ambre;driscoll
ambrogino;driskoll
ambrogio;drogo
ambroise;drummond
ambrose;drusilla
ambrosia;drystan
ambrosine;dua
ambrosio;duana
ambrus;duane
amedea;duarte
amédée;dubaku
amedeo;dubhghall
amedeus;dubhghlas
amélia;duc
amelia;duci
amélie;dudel
amen;dudley
amenhotep;duff
america;dugald
americo;duha
amerigo;duilio
amethyst;duke
amhlaidh;dulcibella
amhlaoibh;dulcie
ami;duleep
amias;dumitru
amice;duncan
amie;dung
amika;dunja
amilcar;dunstan
amilia;dunya
amin;dunyasha
amina;duong
aminda;durand
aminta;durga
amir (1);durward
amir (2);dusan
amira;dustin
amita;dusty
amittai;duygu
amity;dvorah
ammiel;dwayne
ammon;dwight
amon;dwyn
amos;dyan
amparo;dylan
amrit;dylis
amrita;dymphna
amy;dympna
amyas;éabha
amynta;eachann
an;eadan
ana;éadaoin
anacleto;eadbhárd
anacletus;eadburga
anahid;eadwig
anahita;ealasaid
anaïs;ealdgyð
anaitis;ealisaid
anakin;eallair
anakoni;eamon
anan (1);éamonn
anan (2);ean
anand;eanraig
ananda;earl
anani;earle
ananias;earleen
ananta;earlene
ananth;earline
anantha;earnest
anargyros;earnestine
anaru;eartha
anas;easter
anass;eavan
anastacia;ebba
anastas;ebbe
anastasia;eben
anastasie;ebenezer
anastasio;eber
anastasios;eberardo
anastasius;eberhard
anasztáz;ebert
anasztázia;ebony
anat;ebrahim
anath (1);ecaterina
anath (2);ece
anatole;echo
anatoli;eckbert
anatolius;eckehard
anatoly;eckhard
anatu;ed
anaxagoras;edan
anca;edana
anchjo;edda
andela;eddie
ander;eddy
anders;edelmira
anderson;eden
andor;edgar
andra;edgard
andrás;edgardo
andras;edie
andraste;edina
andré;edison
andrea (1);edit
andrea (2);edita
andreas;edite
andrée;édith
andreea;edith
andrei;edmé
andreia;edmond
andrej;edmonda
andreja;edmondo
andrés;edmund
andreu;edmundo
andrew;edna (1)
andriana;edna (2)
andries;edoardo
andrija;edom
andrina;édouard
andris;edric
andriy;edsel
andro;eduard
androcles;eduarda
andromache;eduardo
andromeda;edurne
andronikos;edvard
andrzej;edvige
andy;edward
ane;edweena
aneirin;edwena
anelie;edwige
anemone;edwin
aneurin;edwina
anfisa;edwyn
angel;edwyna
ángela;edyta
angela;edytha
angèle;edythe
angelia;eerikki
angelica;eero
angelika;eetu
angelina;eeva
angeline;effie
angelique;efigênia
angelita;efisio
angelle;efraim
angelo;efraín
angelos;efstathios
angerona;efua
angharad;egbert
angie;egidio
angus;egil
angyalka;eglantine
ania;egon
anibal;ehud
anica;éibhear
anicetus;éibhir
aniela;eibhlín
anika;eideard
aniketos;eidel
anikó;eileen
anima (1);eilert
anima (2);eilidh
aniruddha;eilís
anisa;eilish
anise;eiluned
anisim;eilwen
anita;éimhín
anja;eimhir
anjali;einar
anjelica;einion
anka;einrí
anke;eira
ankur;eiran
ann;eireann
anna;eireen
annabel;eirene
annabella;eirian
annabelle;eirik
annalisa;eirlys
annas;eirwen
anne;eitan
anneka;eithne
anneke;ekaterina
anneli;ekewaka
annelie;ekin
anneliese;ekkehardt
annelise;ekua
annemarie;ekwueme
annetta;eladio
annette;elain
annice;elaine
annick;elario
annie;elba
anniina;elbert
annika;elda
annikki;elder
annis;eldon
annmarie;eldred
annunciata;eldreda
annunziata;elea
annuska;eleanor
anona;eleanora
anouk;eleanore
anoush;eleazar
anouska;electra
anraí;eleftheria
ansel;eleftherios
anselm;elek
anselma;elen
anselme;elena
anselmo;elene
ansgar;eleni
anshel;elenora
anson;eleonoora
antal;eleonor
antanas;eleonora
ante;eléonore
antero;eleonore
anthea;eleri
anthony;elettra
antigone;eleuterio
antigonus;eleutherius
antiope;elfa
antipater;elfleda
antje;elfreda
anto;elfrida
antoine;elfriede
antoinette;eli
anton;elia
antonella;elian
antonello;eliana
antonette;éliane
antoni;elias
antonia;elicia
antonie;elidi
antonietta;eliezer
antonija;eligia
antonina;eligio
antonino;elihu
antonio;eliina
antonius;eliisa
antono;elijah
antony;elikapeka
antti;elin
antun;elina
antwan;elinor
anubis;eliot
anunciación;eliott
anupam;eliphalet
anushka;eliphelet
anwar;elisa
anwen;elisabet
anwer;elisabeta
anya;elisabeth
aodh;elisabetta
aodhán;elisavet
aoibheann;elisaveta
aoibhín;élise
aoide;elise
aoife;eliseo
aonghas;elisha
aonghus;elisheba
aphra;elisheva
aphrodisia;elissa (1)
aphrodisios;elissa (2)
aphrodite;elisud
apikalia;elita
apolinar;eliud
apollinaire;eliyahu
apollinaris;eliza
apollinariya;elizabeta
apolline;elizabeth
apollo;elizaveta
apollodoros;elkan
apollonia;elkanah
apollonios;elke (1)
apolonija;elke (2)
apostolis;ella
apostolos;ellar
apphia;elle
appius;ellen
april;ellery
aquila;elli (1)
arabella;elli (2)
araceli;ellie
aracelis;elliot
aracely;elliott
arachne;ellis (1)
aragorn;ellis (2)
araminta;elly
aran;elma
aranka;elmas
aranrhod;elmer
arantxa;elmira
aras;elmo
arata;elnathan
aravinda;elnora
arcadia;elodia
arcangelo;élodie
arcelia;elof
archelaus;eloi
archibald;eloisa
archie;éloise
archimedes;eloise
archippos;elouise
ardal;elov
ardashir;eloy
arden;elpida
ardghal;elpidio
arduino;elpidius
areli;elpis
ares;elric
aretha;elrond
arethusa;elroy
arevig;elsa
argus;elsabeth
argyris;elsdon
argyros;else
ari (1);elsie
ari (2);elspet
aria;elspeth
ariadne;elton
ariana;eluf
ariane;eluned
arianna;elva
arianne;elvin
arianrhod;elvina
aric;elvira
ariel;elvis
ariella;elwin
arielle;elwood
arienne;elwyn
aries;ely
arik;elyse
arina;elysia
arisha;elzbieta
arista;em
aristide;emánuel
aristides;emanuel
aristocles;emanuele
aristodemos;emel
aristomache;emelie
ariston;emelina
aristophanes;emeline
aristotle;emely
arisu;emer
arisztid;emerald
arjan;emeric
arjun;emerson
arjuna;emery
arkadi;emi
arkadios;emidio
arkady;emil
arkell;émile
arleen;emilee
arlen;emilia
arlene;emilian
arlette;emiliana
arlie;emiliano
arline;émilie
armand;emilie
armando;émilien
armel;emilio
armelle;emily
armin;emine
armo;emlyn
arn;emma
arnaldo;emmaline
arnau;emmanouil
arnaud;emmanuel
arnaude;emmanuelle
arndt;emmeline
arne (1);emmerich
arne (2);emmerson
arnie;emmet
arnold;emmett
aroha;emmie
aroldo;emmy
áron;emory
aron;emrys
árpád;emyr
arrigo;ena
arron;encarnacion
arsen;endre
arseni;enéas
arsenios;enfys
art;engel
artair;engelbert
artemidoros;engin
artemis;enid
artemisia;eniola
artemisios;enitan
arthur;ennio
arttu;ennis
artturi;enoch
artúr;enok
artur;enola
arturo;enos
arundhati;enosh
arvel;enric
arvid;enrica
arvo;enrico
arwen;enrique
aryana;enu
arzu;enya
åsa;enyo
asa;enzo
as'ad;eoforhild
asad;eoghan
asaf;eoin
asaph;eos
asbjörn;eowyn
ásdís;epaphras
asdrubal;epaphroditos
aseem;ephraim
asenath;epifanio
ash;epiktetos
asha;epiphany
ashanti;epona
asher;eppie
asherah;era
ashlee;eran
ashleigh;erasmus
ashley;erastus
ashlie;erato
ashling;ercole
ashlyn;ercwlff
ashlynn;erdem
ashok;erdmann
ashoka;erebus
ashtad;eren
ashton;erez
ashtoreth;erhard
asia;eric
asim;erica
asklepiades;erich
asklepios;erick
aslaug;ericka
asli;erik
aslög;erika
asløg;erin
asma;eris
aspasia;erishkigal
aspen;erkki
assumpció;erland
assumpta;erle
assunta;erlend
asta;erma
astaroth;ermanno
astarte;ermenegilde
astor;ermenegildo
astra;ermentraud
astraea;ermentraude
astrid;ermete
astrithr;ermintrude
astrophel;ermolai
asunción;ermtraud
asya;ern
ata;erna
atalanta;ernest
atallah;ernesta
atara;ernestine
atarah;ernesto
ataullah;ernie
atefeh;ernõ
athanas;ernst
athanasia;eros
athanasios;errol
athanasius;erskine
athelstan;ervin
athena;ervins
athenias;erwan
atieno;erwin
atílio;erykah
atilio;eryn
atiya;erzsébet
atlas;erzsi
atticus;esa
attila;esaias
attilio;esau
auberon;esdras
aubree;eseld
aubrey;eser
aude;eshe
audie;esi
audley;esin
audra (1);esmail
audra (2);esmaralda
audrea;esmé
audrey;esmée
august (1);esmeralda
august (2);esmond
augusta;esmund
auguste;esperanta
augustijn;esperanza
augustin;espiridion
augustine;essa
augusto;essence
augusts;essie
augustus;esta
aukusti;estachio
aulay;estavan
aulus;estéban
aune;estee
aura;estefanía
aurangzeb;estela
aurel;estella
aurèle;estelle
aurelia;ester
aureliano;esteri
aurélie;estevão
aurelien;estève
aurelio;esteve
aurelius;esther
aureole;estrella
aurora;esyllt
aurore;eszter
ausra;eszti
austen;étaín
austin;etel
austyn;etelka
autumn;ethalyn
ava (1);ethan
ava (2);ethel
avalon;ethelbert
avdotya;etheldreda
avedis;ethelinda
avelina;ethelred
aveline;ethna
averill;ethne
avery;étienne
avi;etna
avia;etta
avice;ettie
avidan;ettore
avila;etzel
aviram;euan
avis;euclid
avishai;eudocia
avitus;eudora
aviv;eudoxia
aviva;eufemia
avner;eugen
avra;eugène
avraham;eugene
avram;eugênia
avril;eugenia
avrum;eugénie
awotwi;eugênio
awstin;eugenio
axel;eula
axelle;eulalia
aya;eulalie
ayala;eulia
aydin;eumelia
ayelet;eunice
ayesha;euphemia
aygül;euphranor
ayishah;euphrosyne
ayla (1);euripides
ayla (2);eurydice
ayla (3);eusebio
aylmer;eusebios
ayn;eusebius
ayo;eustace
ayomide;eustache
aysel;eustacia
aysun;eustaquio
azalea;eustathios
azarel;euterpe
azaria;euthalia
azariah;euthymius
azarias;eutropia
azeneth;eutropio
'aziz;eutropius
aziz;eutychius
azrael;eutychos
azubah;éva
azucena;eva
azuolas;evadne
azura;evaline
azure;evalyn
baako;evan
baal;evander (1)
babajide;evander (2)
babak;evangelina
babar;evangeline
babatunde;evangelos
baber;évariste
babette;evaristo
babirye;evaristus
babs;evdokia
babur;evdokiya
bacchus;eve
badr;eveleen
baha;eveliina
bahiga;evelina
bahij;eveline
bahija;evelyn
bahiyya;everard
bahman;everett
bahram;everette
bai;everild
baila;everitt
bailee;evert
bailey;evette
báirbre;evfemia
bakr;evfrosyne
bala;evgeni
balázs;evgenia
baldassare;evgeniya
balder;evgeny
baldev;evie
baldo;évike
baldomero;evita
baldric;evonne
baldur;evpraksiya
baldwin;evrard
balfour;evron
bálint;evstathios
baltasar;evthalia
baltazar;ewa
balthasar;ewald
balthazar;ewan
bambi;ewart
bandi;ewen
banu;ezar
bao (1);ezekiel
bao (2);ezra
baptist;eztebe
baptiste;faas
baqir;fabia
barabal;fábián
barak;fabian
barakat;fabiana
barb;fabiano
bárbara;fabien
barbara;fabienne
barbie;fabio
barbora;fabiola
barbra;fabius
barbro;fabó
barclay;fabrice
baris;fabricio
barlaam;fabrizia
barna;fabrizio
barnabás;fachtna
barnabas;faddei
barnabé;fadi
barnaby;fadia
barney;fadil
barra;fadila
barret;fadl
barrett;fae
barrie;fáelán
barry;fahd
bart;fahim
bartal;fahima
bartel;fahmida
barthélémy;faiga
bartholomaus;faigel
bartholomew;fairuza
bartlomiej;faith
bartolomé;faithe
bartolomeo;faivish
bartosz;faizel
baruch;fajra
bas;fakhri
basajaun;fakhriyya
basant;falk
basemath;fancy
bashe;fane
bashemath;fannie
basia (1);fanny
basia (2);faolán
basil;farag
basile;farah
basilio;faraj
basim;faramond
basma;fardoos
basmath;fareed
bassam;farid
bassem;farida
bastiaan;fariha
bastian;faris
bastien;farley
basu;faron
basya;farooq
bathsheba;farouk
battista;farquhar
batya;farrah
batyah;farran
baudouin;farrell
bautista;faruq
baylee;fastred
bea;fathi
bearach;fathiyya
beáta;fatima
beata;fatin
beate;fatma
beathag;fauna
beathan;faunus
béatrice;fausta
beatrice;faustina
beatriu;faustine
beatrix;fausto
beatriz;faustus
beau;fawn
beaumont;fawzi
beauregard;fawziyya
beavis;fay
bébhinn;faye
bébhionn;fayiz
bébinn;fayruz
becca;faysal
becka;fayvel
beckah;fayza
becky;fearchar
bede;feardorcha
bedelia;fearghal
bedivere;fearghas
bedrich;fechín
bedros;fedele
bedwyr;fedelma
bee;federica
beelzebub;federico
behnam;federigo
behram;fedora
behruz;fedot
béibhinn;fedya
beileag;feichín
beitris;feidhelm
bekki;feidhlim
béla;feidhlimidh
belenus;feige
belgin;feivel
beli;felice
belinda;felicia
bella;feliciana
belle;feliciano
bellona;felicidad
belphoebe;felicidade
ben;félicie
benaiah;felicie
bence;felicien
bendiks;felicienne
bendt;felìcita
benedek;felicity
benedetta;felim
benedetto;felina
benedict;felipa
benedicta;felipe
bénédicte;feliu
benedikt;félix
benedikta;felix
benedikte;femi
benedita;femie
benedito;femke
benesh;fenella
bengt;fenton
bengta;feodor
beniamino;feodora
benigna;feofilakt
benigno;ferapont
benita;ferdie
benito;ferdinand
benjamín;ferdinanda
benjamin;ferdinando
benjamine;ferdy
benjy;ferenc
bennett;fergal
bennie;fergie
benno;fergus
benny;feri
benoit;ferko
benoite;fermin
benson;fern
